     0: >>> E[0:00:00]-R[?]: Return=      -1.2, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=   -0.9298, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=   -0.8389, Steps=30.0, Features = 1000
    30: E[0:00:08]-R[0:00:19]: Return=   -0.7935, Steps=  30, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=30.0, Features = 1000
    30: E[0:00:08]-R[0:00:19]: Return=         0, Steps=  30, Features = 1000
    50: >>> E[0:00:14]-R[0:00:14]: Return=         0, Steps=30.0, Features = 1000
    60: E[0:00:17]-R[0:00:11]: Return=         0, Steps=  30, Features = 1000
    71: E[0:00:21]-R[0:00:08]: Return=         0, Steps=  11, Features = 1000
   100: >>> E[0:00:27]-R[0:00:00]: Return=         0, Steps=10.0, Features = 1000
Total Experiment Duration 0:00:27
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=30.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=15.0, Features = 1000
    15: E[0:00:05]-R[0:00:31]: Return=         0, Steps=  15, Features = 1000
    30: E[0:00:11]-R[0:00:26]: Return=         0, Steps=  15, Features = 1000
    45: E[0:00:16]-R[0:00:20]: Return=         0, Steps=  15, Features = 1000
    50: >>> E[0:00:20]-R[0:00:20]: Return=         0, Steps=15.0, Features = 1000
    60: E[0:00:23]-R[0:00:15]: Return=         0, Steps=  15, Features = 1000
    75: E[0:00:28]-R[0:00:09]: Return=         0, Steps=  15, Features = 1000
    90: E[0:00:34]-R[0:00:04]: Return=         0, Steps=  15, Features = 1000
   100: >>> E[0:00:38]-R[0:00:00]: Return=         0, Steps=15.0, Features = 1000
Total Experiment Duration 0:00:38
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=15.0, Features = 1000
    15: E[0:00:06]-R[0:01:13]: Return=     -1500, Steps=  15, Features = 1000
    30: E[0:00:12]-R[0:01:07]: Return=     -1500, Steps=  15, Features = 1000
    45: E[0:00:18]-R[0:01:00]: Return=     -1500, Steps=  15, Features = 1000
    60: E[0:00:24]-R[0:00:55]: Return=     -1500, Steps=  15, Features = 1000
    75: E[0:00:30]-R[0:00:49]: Return=     -1500, Steps=  15, Features = 1000
    90: E[0:00:35]-R[0:00:43]: Return=     -1500, Steps=  15, Features = 1000
   100: >>> E[0:00:41]-R[0:00:41]: Return=         0, Steps=15.0, Features = 1000
   105: E[0:00:42]-R[0:00:38]: Return=     -1500, Steps=  15, Features = 1000
   120: E[0:00:48]-R[0:00:32]: Return=     -1500, Steps=  15, Features = 1000
   135: E[0:00:54]-R[0:00:26]: Return=     -1500, Steps=  15, Features = 1000
   150: E[0:00:59]-R[0:00:20]: Return=     -1500, Steps=  15, Features = 1000
   165: E[0:01:05]-R[0:00:14]: Return=     -1500, Steps=  15, Features = 1000
   180: E[0:01:11]-R[0:00:08]: Return=     -1500, Steps=  15, Features = 1000
   195: E[0:01:17]-R[0:00:02]: Return=     -1500, Steps=  15, Features = 1000
   200: >>> E[0:01:20]-R[0:00:00]: Return=         0, Steps=15.0, Features = 1000
Total Experiment Duration 0:01:20
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=15.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=15.0, Features = 1000
    15: E[0:00:05]-R[0:01:06]: Return=     -1300, Steps=  15, Features = 1000
    30: E[0:00:11]-R[0:01:00]: Return=     -1500, Steps=  15, Features = 1000
    45: E[0:00:16]-R[0:00:54]: Return=     -1500, Steps=  15, Features = 1000
    60: E[0:00:21]-R[0:00:49]: Return=       500, Steps=  15, Features = 1000
    75: E[0:00:26]-R[0:00:44]: Return=       500, Steps=  15, Features = 1000
    90: E[0:00:32]-R[0:00:39]: Return=     -1100, Steps=  15, Features = 1000
   100: >>> E[0:00:36]-R[0:00:36]: Return=         0, Steps=15.0, Features = 1000
   105: E[0:00:37]-R[0:00:34]: Return=     -1500, Steps=  15, Features = 1000
   120: E[0:00:43]-R[0:00:29]: Return=     -1300, Steps=  15, Features = 1000
   135: E[0:00:49]-R[0:00:23]: Return=     -1500, Steps=  15, Features = 1000
   150: E[0:00:54]-R[0:00:18]: Return=     -1500, Steps=  15, Features = 1000
   165: E[0:00:59]-R[0:00:13]: Return=     -1500, Steps=  15, Features = 1000
   180: E[0:01:05]-R[0:00:07]: Return=     -1500, Steps=  15, Features = 1000
   195: E[0:01:10]-R[0:00:02]: Return=     -1500, Steps=  15, Features = 1000
   200: >>> E[0:01:14]-R[0:00:00]: Return=         0, Steps=15.0, Features = 1000
Total Experiment Duration 0:01:14
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=15.0, Features = 1000
    15: E[0:00:05]-R[0:01:01]: Return=      -500, Steps=  15, Features = 1000
    30: E[0:00:10]-R[0:00:57]: Return=       300, Steps=  15, Features = 1000
    45: E[0:00:16]-R[0:00:54]: Return=      -700, Steps=  15, Features = 1000
    60: E[0:00:21]-R[0:00:50]: Return=      -100, Steps=  15, Features = 1000
    75: E[0:00:27]-R[0:00:45]: Return=       100, Steps=  15, Features = 1000
    90: E[0:00:32]-R[0:00:40]: Return=       300, Steps=  15, Features = 1000
   100: >>> E[0:00:36]-R[0:00:36]: Return=         0, Steps=15.0, Features = 1000
   105: E[0:00:38]-R[0:00:34]: Return=      -300, Steps=  15, Features = 1000
   120: E[0:00:44]-R[0:00:29]: Return=      -500, Steps=  15, Features = 1000
   135: E[0:00:49]-R[0:00:24]: Return=      -100, Steps=  15, Features = 1000
   150: E[0:00:54]-R[0:00:18]: Return=      -700, Steps=  15, Features = 1000
   165: E[0:00:59]-R[0:00:13]: Return=       100, Steps=  15, Features = 1000
   180: E[0:01:04]-R[0:00:07]: Return=      -700, Steps=  15, Features = 1000
   195: E[0:01:10]-R[0:00:02]: Return=     -1500, Steps=  15, Features = 1000
   200: >>> E[0:01:12]-R[0:00:00]: Return=         0, Steps=15.0, Features = 1000
Total Experiment Duration 0:01:12
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=15.0, Features = 1000
    15: E[0:00:06]-R[0:01:12]: Return=     -1500, Steps=  15, Features = 1000
    30: E[0:00:11]-R[0:01:05]: Return=      -300, Steps=  15, Features = 1000
    45: E[0:00:17]-R[0:00:59]: Return=      -900, Steps=  15, Features = 1000
    60: E[0:00:23]-R[0:00:54]: Return=       300, Steps=  15, Features = 1000
